,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,600155,华创阳安,669.48,177.14,6.3901,1912.1914,4.6356,1079.4632,2.6168
1,000403,派林生物,201.29,74.73,30.0145,368.9481,1.7429,493.6839,2.3321
2,000935,四川双马,119.07,11.77,25.0745,54.9258,0.1719,466.351,1.46
3,600792,云煤能源,82.75,8.41,28.9753,130.7001,1.0354,1553.165,12.3047
4,002001,新和成,61.47,44.43,65.3139,1275.5992,3.7291,2870.7211,8.3924
5,600596,新安股份,53.55,24.73,42.128,1494.8808,5.2125,6043.3527,21.0726
6,600875,东方电气,50.23,3.97,16.0872,759.528,0.9296,19123.0045,23.4063
7,600216,浙江医药,48.61,24.99,45.7215,783.6536,1.7412,3135.1837,6.9661
8,600745,闻泰科技,46.43,32.74,29.4106,103.0709,0.3148,314.8065,0.9616
9,000836,富通信息,43.85,69.59,26.092,205.2988,1.6724,294.9981,2.4031
10,000792,盐湖股份,42.67,33.79,79.1088,1101.5792,1.4351,3259.8421,4.247
11,600272,开开实业,39.54,14.15,24.9217,73.4109,0.3021,518.6615,2.1344
12,600711,盛屯矿业,39.19,12.38,21.6596,8.7921,0.1106,70.9999,0.8934
13,000933,神火股份,38.06,11.76,24.4487,1124.8901,2.2497,9562.4577,19.1249
14,000718,苏宁环球,36.73,22.8,51.7492,549.465,0.423,2409.3785,1.8549
15,000937,冀中能源,34.75,26.07,49.3554,1844.5251,2.3409,7073.3293,8.9768
16,000983,山西焦煤,33.56,27.64,49.5713,2669.1398,1.1011,9654.8755,3.983
17,601919,中远海控,32.97,20.66,31.0747,19711.6044,1.9294,95381.5728,9.3362
18,000568,泸州老窖,32.86,35.25,65.1072,1084.8656,0.7781,3076.8855,2.2068
19,601699,潞安环能,32.67,14.19,33.4357,1770.5344,1.5388,12472.4732,10.8405
20,000835,*ST长动,31.59,11.28,20.4722,126.7571,0.5396,1122.9336,4.7804
21,600348,华阳股份,31.57,7.56,20.2282,874.3969,0.9089,11557.419,12.0139
22,000502,*ST绿景,30.56,19.7,55.2877,80.0244,0.4329,406.1368,2.1974
23,000668,荣丰控股,30.39,5.65,8.2875,151.1762,1.0295,2671.4639,18.1927
24,600136,当代文体,30.2,25.57,54.686,19.2104,0.1839,75.1016,0.719
25,600428,中远海特,30.1,23.39,33.248,1254.5201,0.9573,5361.3253,4.0913
26,600844,丹化科技,29.97,20.22,18.659,86.0887,0.2826,425.6494,1.3975
27,600645,中源协和,29.8,16.88,56.367,36.8664,0.1134,218.2865,0.6715
28,000655,金岭矿业,29.73,43.2,64.7939,361.6652,1.1257,837.1038,2.6057
29,600519,贵州茅台,29.69,48.48,90.5197,3144.7589,3.332,6486.5173,6.8727
30,000968,蓝焰控股,29.51,18.69,40.5801,731.3472,1.4235,3912.9297,7.6164
31,600389,江山股份,29.29,9.97,22.3758,276.8658,1.3983,2774.3201,14.0117
32,000010,美丽生态,29.08,18.29,42.6853,13.4327,0.0913,73.4251,0.4994
33,600109,国金证券,28.74,54.43,70.3278,690.4558,1.3805,1268.4197,2.5362
34,600862,中航高科,28.61,22.19,16.9017,75.781,0.3178,341.4991,1.4321
35,600150,中国船舶,28.56,17.14,23.0716,3153.2675,4.7592,18389.2517,27.7549
36,000609,*ST中迪,28.36,24.16,50.7941,263.728,0.8847,1091.5224,3.6616
37,000157,中联重科,28.17,14.05,28.336,1392.1752,0.9153,9902.1021,6.5102
38,600547,山东黄金,27.7,3.75,8.3513,623.3996,1.7522,16603.387,46.6691
