,date,time,price,change,volume,amount,type,code
0,2021-06-10,09:25:01,112.0,-0.34,249,2788800,卖盘,000538
1,2021-06-10,09:30:01,111.84,-0.16,2,22368,卖盘,000538
2,2021-06-10,09:30:05,111.88,0.04,597,6696102,卖盘,000538
3,2021-06-10,09:30:07,111.8,-0.08,87,973418,卖盘,000538
4,2021-06-10,09:30:10,111.8,0.0,51,570574,卖盘,000538
5,2021-06-10,09:30:12,111.84,0.04,19,212452,买盘,000538
6,2021-06-10,09:30:16,112.2,0.36,55,615111,买盘,000538
7,2021-06-10,09:30:18,111.97,-0.23,2,22377,中性盘,000538
8,2021-06-10,09:30:22,111.84,-0.13,5,55920,中性盘,000538
9,2021-06-10,09:30:25,111.99,0.15,26,290926,买盘,000538
10,2021-06-10,09:30:27,112.0,0.01,2,22400,买盘,000538
11,2021-06-10,09:30:31,111.97,-0.03,221,2481447,卖盘,000538
12,2021-06-10,09:30:33,112.3,0.33,2,22433,中性盘,000538
13,2021-06-10,09:30:37,112.47,0.17,2,22454,买盘,000538
14,2021-06-10,09:30:39,112.08,-0.39,72,808041,卖盘,000538
15,2021-06-10,09:30:42,112.46,0.38,8,89956,买盘,000538
16,2021-06-10,09:30:46,112.3,-0.16,3,33688,买盘,000538
17,2021-06-10,09:30:48,112.23,-0.07,15,168354,卖盘,000538
18,2021-06-10,09:30:52,112.3,0.07,22,246962,买盘,000538
19,2021-06-10,09:30:54,112.33,0.03,3,33696,买盘,000538
20,2021-06-10,09:30:58,112.33,0.0,159,1788004,中性盘,000538
21,2021-06-10,09:31:01,112.39,0.06,1,11239,卖盘,000538
22,2021-06-10,09:31:05,112.59,0.2,22,247514,买盘,000538
23,2021-06-10,09:31:06,112.43,-0.16,17,191137,中性盘,000538
24,2021-06-10,09:31:10,112.6,0.17,24,270258,买盘,000538
25,2021-06-10,09:31:13,112.12,-0.48,120,1347695,卖盘,000538
26,2021-06-10,09:31:16,112.37,0.25,24,269546,买盘,000538
27,2021-06-10,09:31:18,112.37,0.0,8,89878,买盘,000538
28,2021-06-10,09:31:22,112.3,-0.07,27,303224,卖盘,000538
29,2021-06-10,09:31:25,112.13,-0.17,9,100996,卖盘,000538
30,2021-06-10,09:31:27,112.3,0.17,55,617031,买盘,000538
31,2021-06-10,09:31:31,112.12,-0.18,12,134688,卖盘,000538
32,2021-06-10,09:31:34,112.22,0.1,6,67309,买盘,000538
33,2021-06-10,09:31:37,112.26,0.04,17,190843,卖盘,000538
34,2021-06-10,09:31:39,112.14,-0.12,13,145865,卖盘,000538
35,2021-06-10,09:31:43,112.21,0.07,18,201985,买盘,000538
36,2021-06-10,09:31:45,112.1,-0.11,35,392588,卖盘,000538
37,2021-06-10,09:31:49,112.14,0.04,20,224226,买盘,000538
38,2021-06-10,09:31:51,112.07,-0.07,20,224164,卖盘,000538
39,2021-06-10,09:31:55,112.07,0.0,54,605210,卖盘,000538
40,2021-06-10,09:31:57,112.07,0.0,23,257787,卖盘,000538
41,2021-06-10,09:32:01,112.13,0.06,15,168169,买盘,000538
42,2021-06-10,09:32:04,112.12,-0.01,24,269058,买盘,000538
43,2021-06-10,09:32:06,112.12,0.0,41,459864,买盘,000538
44,2021-06-10,09:32:10,112.12,0.0,9,100908,卖盘,000538
45,2021-06-10,09:32:13,112.34,0.22,6,67397,买盘,000538
46,2021-06-10,09:32:15,112.27,-0.07,4,44927,卖盘,000538
47,2021-06-10,09:32:18,112.37,0.1,5,56174,买盘,000538
48,2021-06-10,09:32:22,112.32,-0.05,8,89857,卖盘,000538
49,2021-06-10,09:32:25,112.5,0.18,39,438265,买盘,000538
50,2021-06-10,09:32:28,112.5,0.0,72,809286,买盘,000538
51,2021-06-10,09:32:31,112.58,0.08,11,123682,买盘,000538
52,2021-06-10,09:32:34,112.6,0.02,1,11260,买盘,000538
53,2021-06-10,09:32:36,112.58,-0.02,13,146360,卖盘,000538
54,2021-06-10,09:32:39,112.6,0.02,41,461650,买盘,000538
55,2021-06-10,09:32:42,112.58,-0.02,62,698147,卖盘,000538
56,2021-06-10,09:32:46,112.61,0.03,6,67585,中性盘,000538
57,2021-06-10,09:32:48,112.6,-0.01,33,371690,卖盘,000538
58,2021-06-10,09:32:51,112.7,0.1,27,304231,买盘,000538
59,2021-06-10,09:32:55,112.69,-0.01,6,67642,中性盘,000538
60,2021-06-10,09:32:58,112.8,0.11,30,338336,买盘,000538
61,2021-06-10,09:33:01,112.73,-0.07,4,45097,卖盘,000538
62,2021-06-10,09:33:04,112.73,0.0,102,1150309,卖盘,000538
63,2021-06-10,09:33:07,112.9,0.17,14,158047,买盘,000538
64,2021-06-10,09:33:10,112.9,0.0,14,158029,卖盘,000538
65,2021-06-10,09:33:13,112.96,0.06,13,146783,买盘,000538
66,2021-06-10,09:33:16,112.78,-0.18,65,733595,卖盘,000538
67,2021-06-10,09:33:19,112.87,0.09,49,552965,中性盘,000538
68,2021-06-10,09:33:22,112.78,-0.09,31,349795,卖盘,000538
69,2021-06-10,09:33:25,112.73,-0.05,54,608981,卖盘,000538
70,2021-06-10,09:33:27,112.78,0.05,29,327115,卖盘,000538
71,2021-06-10,09:33:30,112.76,-0.02,27,304556,卖盘,000538
72,2021-06-10,09:33:34,112.9,0.14,43,485026,买盘,000538
73,2021-06-10,09:33:37,112.78,-0.12,25,281975,卖盘,000538
74,2021-06-10,09:33:39,112.86,0.08,15,169278,中性盘,000538
75,2021-06-10,09:33:42,112.78,-0.08,18,203100,卖盘,000538
76,2021-06-10,09:33:45,112.8,0.02,31,349854,中性盘,000538
77,2021-06-10,09:33:49,112.9,0.1,47,530420,买盘,000538
78,2021-06-10,09:33:52,112.9,0.0,15,169332,买盘,000538
79,2021-06-10,09:33:55,112.9,0.0,20,225768,买盘,000538
80,2021-06-10,09:33:58,112.9,0.0,4,45162,卖盘,000538
81,2021-06-10,09:34:01,112.88,-0.02,30,338693,卖盘,000538
82,2021-06-10,09:34:04,112.9,0.02,16,180625,买盘,000538
83,2021-06-10,09:34:07,112.58,-0.32,365,4113933,卖盘,000538
84,2021-06-10,09:34:10,112.47,-0.11,76,855085,卖盘,000538
85,2021-06-10,09:34:12,112.5,0.03,40,449931,买盘,000538
86,2021-06-10,09:34:16,112.35,-0.15,16,179818,卖盘,000538
87,2021-06-10,09:34:19,112.37,0.02,20,224728,买盘,000538
88,2021-06-10,09:34:21,112.32,-0.05,20,224719,卖盘,000538
89,2021-06-10,09:34:25,112.49,0.17,30,337102,买盘,000538
90,2021-06-10,09:34:28,112.65,0.16,41,461452,买盘,000538
91,2021-06-10,09:34:30,112.83,0.18,15,168955,中性盘,000538
92,2021-06-10,09:34:34,112.65,-0.18,8,90162,卖盘,000538
93,2021-06-10,09:34:37,112.65,0.0,8,90114,卖盘,000538
94,2021-06-10,09:34:39,112.65,0.0,18,202667,中性盘,000538
95,2021-06-10,09:34:42,112.63,-0.02,28,315421,卖盘,000538
96,2021-06-10,09:34:45,112.63,0.0,19,213949,买盘,000538
97,2021-06-10,09:34:49,112.61,-0.02,11,123847,中性盘,000538
98,2021-06-10,09:34:52,112.61,0.0,66,742535,中性盘,000538
99,2021-06-10,09:34:54,112.61,0.0,67,753252,买盘,000538
100,2021-06-10,09:34:58,112.61,0.0,13,146404,买盘,000538
101,2021-06-10,09:35:00,112.59,-0.02,34,382845,卖盘,000538
102,2021-06-10,09:35:04,112.65,0.06,36,405403,买盘,000538
103,2021-06-10,09:35:07,112.69,0.04,38,428109,中性盘,000538
104,2021-06-10,09:35:10,112.78,0.09,31,349435,买盘,000538
105,2021-06-10,09:35:12,112.8,0.02,22,248038,买盘,000538
106,2021-06-10,09:35:16,112.79,-0.01,35,394792,买盘,000538
107,2021-06-10,09:35:19,112.88,0.09,13,146660,买盘,000538
108,2021-06-10,09:35:21,112.88,0.0,4,45144,买盘,000538
109,2021-06-10,09:35:25,112.88,0.0,6,67728,买盘,000538
110,2021-06-10,09:35:28,112.8,-0.08,51,575345,卖盘,000538
111,2021-06-10,09:35:31,112.8,0.0,16,180471,买盘,000538
112,2021-06-10,09:35:34,112.8,0.0,54,609052,买盘,000538
113,2021-06-10,09:35:37,112.8,0.0,21,236864,买盘,000538
114,2021-06-10,09:35:40,112.8,0.0,14,157819,买盘,000538
115,2021-06-10,09:35:43,112.8,0.0,39,439847,买盘,000538
116,2021-06-10,09:35:46,112.75,-0.05,16,180448,中性盘,000538
